NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Start Date,Primary Completion Date,Completion Date,Locations
NCT02391298,An Online Self-Guided Meditation Course for Individuals With Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT02391298,COMPLETED,Multiple Sclerosis,BEHAVIORAL: Mindfulness Meditation,Haley Duncanson,Suffolk University,ALL,"ADULT, OLDER_ADULT",NA,26,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2014-12,2016-05,2016-05,"Suffolk University, Boston, Massachusetts, 02114, United States"
NCT05245344,Effects of Ozanimod on Immune-mediated Mechanisms of Neurodegeneration in Multiple Sclerosis - a Preclinical Study,https://beta.clinicaltrials.gov/study/NCT05245344,NOT_YET_RECRUITING,Relapsing-Remitting Multiple Sclerosis (RRMS)|Neuromyelitis Optica|Healthy,PROCEDURE: Peripheral blood withdrawal,Neuromed IRCCS,University of Rome Tor Vergata,ALL,ADULT,,154,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2022-04-01,2023-06-30,2023-10-31,"IRCCS INM-Neuromed, Pozzilli, Isernia, 86077, Italy|IRCCS Ospedale Policlinico San Martino, Genova, Italy|Centre for Experimental Neurological Therapies (CENTERS), Department of Neurosciences, Mental Health and Sensory Organs, Sapienza University of Rome, Roma, Italy"
NCT01791244,A Phase 4 Study to Assess the Impact of Patient Support Program on Health Related Quality of Life and Adherence in Subjects With Relapsing-Remitting Multiple Sclerosis Administered Rebif® With the RebiSmart™ Device,https://beta.clinicaltrials.gov/study/NCT01791244,COMPLETED,Multiple Sclerosis|Relapsing-Remitting,DRUG: Rebif®,"Merck KGaA, Darmstadt, Germany",,ALL,"ADULT, OLDER_ADULT",PHASE4,93,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (INVESTIGATOR)|Primary Purpose: TREATMENT,2013-02-28,2016-02-29,2016-02-29,"Please contact the Merck Communications Service for Recruiting locations, Darmstadt, Germany|Research site, Angered, Sweden|Research Site, Danderyd, Sweden|Research Site, Eksjö, Sweden|Research Site, Gävle, Sweden|Research Site, Karlstad, Sweden|Research Site, KS Huddinge, Sweden|Research Site, Linköping, Sweden|Research Site, Malmö/Lund, Sweden|Research Site, Motala, Sweden|Research Site, Skövde, Sweden|Research Site, Trollhättan, Sweden|Research site, Ängelholm, Sweden|Research Site, Örnsköldsvik, Sweden"
NCT01399957,Responsiveness to Dalfampridine-ER Treatment Among Multiple Sclerosis Patients,https://beta.clinicaltrials.gov/study/NCT01399957,COMPLETED,Multiple Sclerosis,,Mount Sinai Rehabilitation Hospital,Brown University|Acorda Therapeutics,ALL,"ADULT, OLDER_ADULT",,52,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2010-08,2014-09,2015-09,"Mandell Center for Multiple Sclerosis at the Mount Sinai Rehabilitation Hospital, Hartford, Connecticut, 06112, United States"
NCT00439257,"Costs, Quality of Life and Functional Outcomes in Veterans Treated for Multiple Sclerosis With Beta-Interferon l-B (Betaseron)",https://beta.clinicaltrials.gov/study/NCT00439257,COMPLETED,Multiple Sclerosis,,US Department of Veterans Affairs,,ALL,"CHILD, ADULT, OLDER_ADULT",,124,FED,OBSERVATIONAL,Observational Model: |Time Perspective: p,,,2000-06,"VA Connecticut Healthcare System West Haven Campus, West Haven, CT, West Haven, Connecticut, 06516, United States"
NCT05821257,Arm Swing During Walking in Early Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT05821257,ACTIVE_NOT_RECRUITING,"Multiple Sclerosis|Upper Extremity Problem|Gait Disorders, Neurologic",OTHER: Evaluation of the arm swing during gait|OTHER: Functional Tests,Istanbul University - Cerrahpasa (IUC),,ALL,"ADULT, OLDER_ADULT",,28,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2021-12-01,2023-05,2023-06,"Istanbul University-Cerrahpaşa, Istanbul, Turkey"
NCT01865357,Prospective Longitudinal 1-year Study of the Correlation Between Cognitive Functioning in Patients With Clinically Isolated Syndrome Suggestive of Multiple Sclerosis and Disconnection in the Brain Assessed by MRI,https://beta.clinicaltrials.gov/study/NCT01865357,COMPLETED,Clinically Isolated Demyelinating Syndromes|Multiple Sclerosis|Cognitive Deficiencies|Brain MRI,OTHER: Brain MRI - Clinical and cognitive evaluation|OTHER: Eye movement,"University Hospital, Bordeaux",TEVA laboratories,ALL,"ADULT, OLDER_ADULT",NA,117,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: DIAGNOSTIC,2012-08-24,2016-12-01,2016-12-01,"CHU de Bordeaux, Bordeaux, 33000, France"
NCT05155644,Safety of Therapeutic Step-down in Neuromyelitis Optica,https://beta.clinicaltrials.gov/study/NCT05155644,COMPLETED,Neuromyelitis Optica,,"University Hospital, Strasbourg, France",,ALL,"ADULT, OLDER_ADULT",,947,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2020-08-01,2021-11-30,2021-12-31,"Service de Neurologie - Hôpitaux Universitaires de Strasbourg, Strasbourg, 67091, France"
NCT00937157,Comparison of 1.5T vs. 3T Protocols After Treatment With Glatiramer Acetate (GA),https://beta.clinicaltrials.gov/study/NCT00937157,COMPLETED,Multiple Sclerosis,DRUG: Copaxone,University at Buffalo,"Teva Neuroscience, Inc.",ALL,"ADULT, OLDER_ADULT",NA,12,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2007-09,2010-07,2011-04,"Jacobs Neurological Institute, Buffalo, New York, 14203, United States"
NCT02010398,Effects of the Cross-Training in Patients With Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT02010398,COMPLETED,Multiple Sclerosis|Weakness|Fatigue,OTHER: Cross-Training healthy subjects|OTHER: Cross-Training multiple sclerosis|OTHER: Standard-training multiple sclerosis,Università degli Studi di Sassari,,ALL,"ADULT, OLDER_ADULT",NA,45,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2013-07,2017-03-27,2017-03-27,"Department of Biomedical Sciences- University of Sassari, Sassari, Sassari (SS), 07100, Italy|Department of Clinical and Experimental Medicine, University of Sassari, Sassari, 07100, Italy|Department of Surgery, Microsurgery and Medical-Surgical Specialties, Sassari, 07100, Italy"
NCT04266444,Functional Exercise in Virtual Environment for Persons With Multiple Sclerosis or Parkinson's Disease,https://beta.clinicaltrials.gov/study/NCT04266444,COMPLETED,Parkinson Disease|Multiple Sclerosis,DEVICE: Exergaming in virtual environment,"University Rehabilitation Institute, Republic of Slovenia",,ALL,"ADULT, OLDER_ADULT",NA,108,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-02-06,2021-09-29,2021-09-29,"University Rehabilitation Institute, Republic of Slovenia, Ljubljana, 1000, Slovenia"
NCT03893344,STAT4 in Multiple Sclerosis by PCR and Flow Cytometry,https://beta.clinicaltrials.gov/study/NCT03893344,COMPLETED,Multiple Sclerosis,DIAGNOSTIC_TEST: detection of STAT4 gene,Assiut University,,ALL,"CHILD, ADULT, OLDER_ADULT",,104,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2019-09-20,2020-05-20,2020-05-22,"Assiut University Hospital, Assiut, 71111, Egypt"
NCT01665144,Exploring the Efficacy and Safety of Siponimod in Patients With Secondary Progressive Multiple Sclerosis (EXPAND),https://beta.clinicaltrials.gov/study/NCT01665144,ACTIVE_NOT_RECRUITING,Secondary Progressive Multiple Sclerosis,DRUG: BAF312|DRUG: Placebo,Novartis Pharmaceuticals,,ALL,ADULT,PHASE3,1652,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2012-12-20,2016-04-29,2024-03-01,"Novartis Investigative Site, Phoenix, Arizona, 85032, United States|Novartis Investigative Site, Berkeley, California, 94705, United States|Novartis Investigative Site, Los Angeles, California, 90033, United States|Novartis Investigative Site, Oceanside, California, 92056, United States|Novartis Investigative Site, Sacramento, California, 95817, United States|Novartis Investigative Site, Aurora, Colorado, 80045, United States|Novartis Investigative Site, Basalt, Colorado, 81621, United States|Novartis Investigative Site, Boulder, Colorado, 80301, United States|Novartis Investigative Site, Colorado Springs, Colorado, 80907, United States|Novartis Investigative Site, Englewood, Colorado, 80113, United States|Novartis Investigative Site, Fairfield, Connecticut, 06824, United States|Novartis Investigative Site, Delray Beach, Florida, 33445, United States|Novartis Investigative Site, Jacksonville, Florida, 32209, United States|Novartis Investigative Site, Maitland, Florida, 32751, United States|Novartis Investigative Site, Ormond Beach, Florida, 32174, United States|Novartis Investigative Site, Port Charlotte, Florida, 33952, United States|Novartis Investigative Site, Sunrise, Florida, 33351, United States|Novartis Investigative Site, Tampa, Florida, 33609, United States|Novartis Investigative Site, Tampa, Florida, 33612, United States|Novartis Investigative Site, Vero Beach, Florida, 32960, United States|Novartis Investigative Site, Chicago, Illinois, 60612, United States|Novartis Investigative Site, Evanston, Illinois, 60201, United States|Novartis Investigative Site, Flossmoor, Illinois, 60422, United States|Novartis Investigative Site, Lenexa, Kansas, 66212, United States|Novartis Investigative Site, Baltimore, Maryland, 21287, United States|Novartis Investigative Site, Ann Arbor, Michigan, 48109, United States|Novartis Investigative Site, Detroit, Michigan, 48201, United States|Novartis Investigative Site, Detroit, Michigan, 48202, United States|Novartis Investigative Site, Golden Valley, Minnesota, 55422, United States|Novartis Investigative Site, Saint Louis, Missouri, 63131, United States|Novartis Investigative Site, Las Vegas, Nevada, 89106, United States|Novartis Investigative Site, Lebanon, New Hampshire, 03756, United States|Novartis Investigative Site, Freehold, New Jersey, 07728, United States|Novartis Investigative Site, Albuquerque, New Mexico, 87131-0001, United States|Novartis Investigative Site, New York, New York, 10017, United States|Novartis Investigative Site, New York, New York, 10029, United States|Novartis Investigative Site, Patchogue, New York, 11772, United States|Novartis Investigative Site, Stony Brook, New York, 11794, United States|Novartis Investigative Site, Charlotte, North Carolina, 28207, United States|Novartis Investigative Site, Akron, Ohio, 44320, United States|Novartis Investigative Site, Dayton, Ohio, 45408, United States|Novartis Investigative Site, Portland, Oregon, 97225, United States|Novartis Investigative Site, Springfield, Oregon, 97477, United States|Novartis Investigative Site, Philadelphia, Pennsylvania, 19104, United States|Novartis Investigative Site, Providence, Rhode Island, 02905, United States|Novartis Investigative Site, Dallas, Texas, 75216, United States|Novartis Investigative Site, Lubbock, Texas, 79410, United States|Novartis Investigative Site, San Antonio, Texas, 78258, United States|Novartis Investigative Site, Burlington, Vermont, 05401, United States|Novartis Investigative Site, Seattle, Washington, 98101, United States|Novartis Investigative Site, Seattle, Washington, 98122, United States|Novartis Investigative Site, Milwaukee, Wisconsin, 53215, United States|Novartis Investigative Site, Caba, Buenos Aires, 1425, Argentina|Novartis Investigative Site, Caba, Buenos Aires, C1181ACH, Argentina|Novartis Investigative Site, Caba, Buenos Aires, C1428AQK, Argentina|Novartis Investigative Site, Capital Federal, Buenos Aires, 1424, Argentina|Novartis Investigative Site, Buenos Aires, 1061, Argentina|Novartis Investigative Site, Cordoba, X5000FAL, Argentina|Novartis Investigative Site, Camperdown, New South Wales, 2050, Australia|Novartis Investigative Site, Kogarah, New South Wales, 2217, Australia|Novartis Investigative Site, Liverpool, New South Wales, 2170, Australia|Novartis Investigative Site, Heidelberg, Victoria, 3084, Australia|Novartis Investigative Site, Parkville, Victoria, 3050, Australia|Novartis Investigative Site, Klagenfurt, 9020, Austria|Novartis Investigative Site, Vienna, 1090, Austria|Novartis Investigative Site, Wien, 1010, Austria|Novartis Investigative Site, Edegem, Antwerpen, 2650, Belgium|Novartis Investigative Site, Brugge, 8000, Belgium|Novartis Investigative Site, Bruxelles, 1070, Belgium|Novartis Investigative Site, Fraiture En Condroz, 4557, Belgium|Novartis Investigative Site, Gent, 9000, Belgium|Novartis Investigative Site, Leuven, 3000, Belgium|Novartis Investigative Site, Pelt, 3900, Belgium|Novartis Investigative Site, Sijsele, 8340, Belgium|Novartis Investigative Site, Sofia, 1113, Bulgaria|Novartis Investigative Site, Sofia, 1413, Bulgaria|Novartis Investigative Site, Sofia, 1431, Bulgaria|Novartis Investigative Site, Varna, 9010, Bulgaria|Novartis Investigative Site, Calgary, Alberta, T2N 2T9, Canada|Novartis Investigative Site, Edmonton, Alberta, T6G 2G3, Canada|Novartis Investigative Site, Burnaby, British Columbia, V5G 2X6, Canada|Novartis Investigative Site, Halifax, Nova Scotia, B3H 4K4, Canada|Novartis Investigative Site, Kingston, Ontario, K7L 2V7, Canada|Novartis Investigative Site, Ottawa, Ontario, K1H 8L6, Canada|Novartis Investigative Site, Toronto, Ontario, M4N 3M5, Canada|Novartis Investigative Site, Greenfield Park, Quebec, J4V 2J2, Canada|Novartis Investigative Site, Montreal, Quebec, H2X 0A9, Canada|Novartis Investigative Site, Montreal, Quebec, H3A 2B4, Canada|Novartis Investigative Site, Beijing, Beijing, 100034, China|Novartis Investigative Site, Beijing, Beijing, 100730, China|Novartis Investigative Site, Changchun, Jilin, 130021, China|Novartis Investigative Site, Taiyuan, Shanxi, 030001, China|Novartis Investigative Site, Xi'an, Shanxi, 710038, China|Novartis Investigative Site, Chengdu, Sichuan, 610041, China|Novartis Investigative Site, Beijing, 100028, China|Novartis Investigative Site, Beijing, 100730, China|Novartis Investigative Site, Shanghai, 200040, China|Novartis Investigative Site, Brno, Czech Rep., 625 00, Czechia|Novartis Investigative Site, Teplice, Czech Republic, 415 01, Czechia|Novartis Investigative Site, JIhlava, 586 01, Czechia|Novartis Investigative Site, Prague 5, 150 00, Czechia|Novartis Investigative Site, Praha, 12808, Czechia|Novartis Investigative Site, Tallinn, 10138, Estonia|Novartis Investigative Site, Tallinn, 10617, Estonia|Novartis Investigative Site, Nancy, Cedex, 54035, France|Novartis Investigative Site, Bordeaux Cedex, 33076, France|Novartis Investigative Site, CAEN Cedex, 14033, France|Novartis Investigative Site, Lille Cedex, 59037, France|Novartis Investigative Site, Marseille Cedex 05, 13885, France|Novartis Investigative Site, Montpellier, 34295, France|Novartis Investigative Site, Nimes, 30029, France|Novartis Investigative Site, Paris Cedex 13, 75651, France|Novartis Investigative Site, Rennes, 35043, France|Novartis Investigative Site, St Herblain, 44800, France|Novartis Investigative Site, Strasbourg, 67091, France|Novartis Investigative Site, Regensburg, Bavaria, 93053, Germany|Novartis Investigative Site, Aschaffenburg, 63739, Germany|Novartis Investigative Site, Bad Mergentheim, 97980, Germany|Novartis Investigative Site, Bayreuth, 95445, Germany|Novartis Investigative Site, Berg, 82335, Germany|Novartis Investigative Site, Berlin, 10713, Germany|Novartis Investigative Site, Berlin, 13347, Germany|Novartis Investigative Site, Bielefeld, 33647, Germany|Novartis Investigative Site, Boblingen, 71032, Germany|Novartis Investigative Site, Bochum, 44791, Germany|Novartis Investigative Site, Bonn, 53111, Germany|Novartis Investigative Site, Dresden, 01307, Germany|Novartis Investigative Site, Erbach, 64711, Germany|Novartis Investigative Site, Erlangen, 91054, Germany|Novartis Investigative Site, Frankfurt, 60313, Germany|Novartis Investigative Site, Freiburg, 79106, Germany|Novartis Investigative Site, Hamburg, 20249, Germany|Novartis Investigative Site, Hamburg, 22083, Germany|Novartis Investigative Site, Hannover, 30171, Germany|Novartis Investigative Site, Hannover, 30625, Germany|Novartis Investigative Site, Heidelberg, 69120, Germany|Novartis Investigative Site, Homburg, 66421, Germany|Novartis Investigative Site, Itzehoe, 25524, Germany|Novartis Investigative Site, Jena, 07740, Germany|Novartis Investigative Site, Kassel, 34121, Germany|Novartis Investigative Site, Leipzig, 04103, Germany|Novartis Investigative Site, Leipzig, 04107, Germany|Novartis Investigative Site, Muenchen, 80377, Germany|Novartis Investigative Site, Muenster, 48149, Germany|Novartis Investigative Site, Neuburg an der Donau, 86633, Germany|Novartis Investigative Site, Oldenburg, 26122, Germany|Novartis Investigative Site, Potsdam, 14471, Germany|Novartis Investigative Site, Prien, 83209, Germany|Novartis Investigative Site, Rostock, 18057, Germany|Novartis Investigative Site, Schwendi, 88477, Germany|Novartis Investigative Site, Siegen, 57076, Germany|Novartis Investigative Site, Stade, 21682, Germany|Novartis Investigative Site, Stadtroda, 07646, Germany|Novartis Investigative Site, Teupitz, 15755, Germany|Novartis Investigative Site, Ulm, 89073, Germany|Novartis Investigative Site, Ulm, 89081, Germany|Novartis Investigative Site, Unterhaching, 82008, Germany|Novartis Investigative Site, Wiesbaden, 65191, Germany|Novartis Investigative Site, Athens, 106 76, Greece|Novartis Investigative Site, Heraklion Crete, 711 10, Greece|Novartis Investigative Site, Thessaloniki, GR 54636, Greece|Novartis Investigative Site, Budapest, HUN, 1135, Hungary|Novartis Investigative Site, Budapest, HUN, 1145, Hungary|Novartis Investigative Site, Budapest, HUN, 1204, Hungary|Novartis Investigative Site, Esztergom, HUN, 2500, Hungary|Novartis Investigative Site, Balassagyarmat, 2660, Hungary|Novartis Investigative Site, Budapest, 1085, Hungary|Novartis Investigative Site, Budapest, 1106, Hungary|Novartis Investigative Site, Eger, H-3300, Hungary|Novartis Investigative Site, Miskolc, 3526, Hungary|Novartis Investigative Site, Nyiregyhaza, 4400, Hungary|Novartis Investigative Site, Veszprem, H 8200, Hungary|Novartis Investigative Site, Dublin 9, D9, Ireland|Novartis Investigative Site, Dublin 4, D04 T6F, Ireland|Novartis Investigative Site, Jerusalem, 9112001, Israel|Novartis Investigative Site, Ramat Gan, 52621, Israel|Novartis Investigative Site, Genova, GE, 16132, Italy|Novartis Investigative Site, Milano, MI, 20122, Italy|Novartis Investigative Site, Milano, MI, 20132, Italy|Novartis Investigative Site, Cefalu, PA, 90015, Italy|Novartis Investigative Site, Roma, RM, 00133, Italy|Novartis Investigative Site, Roma, RM, 00152, Italy|Novartis Investigative Site, Roma, RM, 00161, Italy|Novartis Investigative Site, Roma, RM, 00168, Italy|Novartis Investigative Site, Roma, RM, 00179, Italy|Novartis Investigative Site, Napoli, 80131, Italy|Novartis Investigative Site, Toon-city, Ehime, 791-0295, Japan|Novartis Investigative Site, Asahikawa-city, Hokkaido, 070-8644, Japan|Novartis Investigative Site, Morioka, Iwate, 020-8505, Japan|Novartis Investigative Site, Kyoto-city, Kyoto, 616-8147, Japan|Novartis Investigative Site, Suita, Osaka, 565 0871, Japan|Novartis Investigative Site, Kawagoe, Saitama, 350 8550, Japan|Novartis Investigative Site, Tokorozawa city, Saitama, 359 8513, Japan|Novartis Investigative Site, Kodaira, Tokyo, 187-8551, Japan|Novartis Investigative Site, Ota-ku, Tokyo, 145-0065, Japan|Novartis Investigative Site, Shinjuku ku, Tokyo, 162 8666, Japan|Novartis Investigative Site, Shinjuku-ku, Tokyo, 160 8582, Japan|Novartis Investigative Site, Aomori, 030 8553, Japan|Novartis Investigative Site, Chiba, 260 8677, Japan|Novartis Investigative Site, Osaka, 556-0016, Japan|Novartis Investigative Site, Riga, LV, LV-1005, Latvia|Novartis Investigative Site, Riga, LV 1002, Latvia|Novartis Investigative Site, Riga, LV-1038, Latvia|Novartis Investigative Site, Kaunas, LTU, LT 50161, Lithuania|Novartis Investigative Site, Klaipeda, LT-92288, Lithuania|Novartis Investigative Site, Vilnius, LT-08661, Lithuania|Novartis Investigative Site, Breda, CK, 4818 CK, Netherlands|Novartis Investigative Site, Amsterdam, 1105 AZ, Netherlands|Novartis Investigative Site, Eindhoven, 5623 EJ, Netherlands|Novartis Investigative Site, Hoorn, 1624 NP, Netherlands|Novartis Investigative Site, Sittard-Geleen, 6162 BG, Netherlands|Novartis Investigative Site, Tilburg, 5022 GC, Netherlands|Novartis Investigative Site, Grudziadz, 86 300, Poland|Novartis Investigative Site, Katowice, 40 571, Poland|Novartis Investigative Site, Kielce, 25 726, Poland|Novartis Investigative Site, Konskie, 26 200, Poland|Novartis Investigative Site, Krakow, 31-637, Poland|Novartis Investigative Site, Lodz, 90 324, Poland|Novartis Investigative Site, Poznan, 60-355, Poland|Novartis Investigative Site, Warszawa, 02-957, Poland|Novartis Investigative Site, Amadora, 2720-276, Portugal|Novartis Investigative Site, Braga, 4710243, Portugal|Novartis Investigative Site, Coimbra, 3000 075, Portugal|Novartis Investigative Site, Lisboa, 1600190, Portugal|Novartis Investigative Site, Porto, 4099-001, Portugal|Novartis Investigative Site, Constanta, Jud. Constanta, 900591, Romania|Novartis Investigative Site, Bucharest, 020125, Romania|Novartis Investigative Site, Bucharest, 050098, Romania|Novartis Investigative Site, Suceava, 727525, Romania|Novartis Investigative Site, Targu Mures, 540136, Romania|Novartis Investigative Site, Timisoara, 300736, Romania|Novartis Investigative Site, Barnaul, 656024, Russian Federation|Novartis Investigative Site, Kazan, 420043, Russian Federation|Novartis Investigative Site, Moscow, 119049, Russian Federation|Novartis Investigative Site, Moscow, 127018, Russian Federation|Novartis Investigative Site, Novosibirsk, 630007, Russian Federation|Novartis Investigative Site, Saint Petersburg, 194044, Russian Federation|Novartis Investigative Site, St. Petersburg, 197110, Russian Federation|Novartis Investigative Site, St. Petersburg, 197376, Russian Federation|Novartis Investigative Site, Ufa, 450000, Russian Federation|Novartis Investigative Site, Banska Bystrica, 97517, Slovakia|Novartis Investigative Site, Bratislava, 813 69, Slovakia|Novartis Investigative Site, Bratislava, 826 06, Slovakia|Novartis Investigative Site, Martin, 036 59, Slovakia|Novartis Investigative Site, Nitra, 94911, Slovakia|Novartis Investigative Site, Presov, 081 81, Slovakia|Novartis Investigative Site, Trencin, 91171, Slovakia|Novartis Investigative Site, Trnava, 917 75, Slovakia|Novartis Investigative Site, Malaga, Andalucia, 29010, Spain|Novartis Investigative Site, Sevilla, Andalucia, 41009, Spain|Novartis Investigative Site, Barcelona, Cataluna, 08026, Spain|Novartis Investigative Site, Badalona, Catalunya, 08916, Spain|Novartis Investigative Site, Barcelona, Catalunya, 08003, Spain|Novartis Investigative Site, Barcelona, Catalunya, 08035, Spain|Novartis Investigative Site, L Hospitalet De Llobregat, Catalunya, 08907, Spain|Novartis Investigative Site, Valencia, Comunidad Valenciana, 46010, Spain|Novartis Investigative Site, Valencia, Comunidad Valenciana, 46026, Spain|Novartis Investigative Site, El Palmar, Murcia, 30120, Spain|Novartis Investigative Site, Bilbao, Pais Vasco, 48013, Spain|Novartis Investigative Site, San Sebastian, Pais Vasco, 20080, Spain|Novartis Investigative Site, Madrid, 28040, Spain|Novartis Investigative Site, Madrid, 28222, Spain|Novartis Investigative Site, Goeteborg, 413 45, Sweden|Novartis Investigative Site, Stockholm, 102 35, Sweden|Novartis Investigative Site, Stockholm, 10235, Sweden|Novartis Investigative Site, Aarau, CH, 5001, Switzerland|Novartis Investigative Site, Basel, 4031, Switzerland|Novartis Investigative Site, Lausanne, 1011, Switzerland|Novartis Investigative Site, Lugano, 6900, Switzerland|Novartis Investigative Site, Luzern, 6000, Switzerland|Novartis Investigative Site, St Gallen, 9007, Switzerland|Novartis Investigative Site, Zuerich, 8091, Switzerland|Novartis Investigative Site, Istanbul, TUR, 34098, Turkey|Novartis Investigative Site, Altunizade, 34662, Turkey|Novartis Investigative Site, Haseki / Istanbul, 34096, Turkey|Novartis Investigative Site, Kocaeli, 41380, Turkey|Novartis Investigative Site, Mecidiyekoy/Istanbul, 34394, Turkey|Novartis Investigative Site, Samsun, 55139, Turkey|Novartis Investigative Site, Trabzon, 61080, Turkey|Novartis Investigative Site, Salford, Manchester, M6 8HD, United Kingdom|Novartis Investigative Site, Headington, Oxfordshire, OX3 9DU, United Kingdom|Novartis Investigative Site, Sheffield, South Yorkshire, S10 2JF, United Kingdom|Novartis Investigative Site, Bristol, BS10 5NB, United Kingdom|Novartis Investigative Site, Glasgow, G51 4TF, United Kingdom|Novartis Investigative Site, Leeds, LS1 3EX, United Kingdom|Novartis Investigative Site, Leicester, LE5 4PW, United Kingdom|Novartis Investigative Site, London, EC1A 7BE, United Kingdom|Novartis Investigative Site, London, W8 6RF, United Kingdom|Novartis Investigative Site, Newcastle Upon Tyne, NE1 4LP, United Kingdom"
NCT00787657,Observational Study to Analyse the Impact of Nurse Support and Disease Related Factors on Long- Term Adherence to Betaferon Treatment,https://beta.clinicaltrials.gov/study/NCT00787657,COMPLETED,Relapsing Remitting Multiple Sclerosis (RRMS),"DRUG: Interferon beta-1b (Betaseron, BAY86-5046)",Bayer,,ALL,"CHILD, ADULT, OLDER_ADULT",,1723,INDUSTRY,OBSERVATIONAL,Observational Model: |Time Perspective: p,2008-06,2013-09,2014-10,"Many Locations, Argentina|Many Locations, Bahrain|Many Locations, Belgium|Many Locations, Bosnia and Herzegovina|Many Locations, Canada|Many Locations, China|Many Locations, Colombia|Many Locations, Czech Republic|Many Locations, Egypt|Many Locations, Estonia|Many Locations, France|Many Locations, Germany|Many Locations, Iran, Islamic Republic of|Many Locations, Israel|Many Locations, Italy|Many Locations, Jordan|Many Locations, Korea, Republic of|Many Locations, Kuwait|Many Locations, Lebanon|Many Locations, Libyan Arab Jamahiriya|Many Locations, Mexico|Many Locations, Netherlands|Many Locations, New Zealand|Many Locations, Norway|Many Locations, Pakistan|Many Locations, Portugal|Many Locations, Saudi Arabia|Many Locations, Singapore|Many Locations, Slovakia|Many Locations, Slovenia|Many Locations, Sweden|Many Locations, Syrian Arab Republic|Many Locations, Taiwan|Many Locations, United Arab Emirates|Many Locations, United Kingdom|Many Locations, Venezuela"
NCT04877457,Ocrelizumab for Preventing Clinical Multiple Sclerosis in Individuals With Radiologically Isolated Disease.,https://beta.clinicaltrials.gov/study/NCT04877457,RECRUITING,Radiologically Isolated Syndrome|Multiple Sclerosis,DRUG: Ocrelizumab|OTHER: Placebo,Yale University,"Genentech, Inc.",ALL,ADULT,PHASE4,100,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2022-02-15,2028-07,2028-07,"USC, Keck School of Medicine, Los Angeles, California, 90033, United States|Yale University, North Haven, Connecticut, 06473, United States|Georgetown University, Washington, District of Columbia, 20007, United States|University of South Florida Morsani Center, Tampa, Florida, 33612, United States|Massachusetts General Hospital, Boston, Massachusetts, 02114, United States|The Elliot Lewis Center for Multiple Sclerosis Care, Wellesley, Massachusetts, 02481, United States|Washington University- St. Louis, Saint Louis, Missouri, 63110, United States|Cleveland Clinic- Lou Ruvo Center for Brain Health, Las Vegas, Nevada, 89106, United States|Icahn School of Medicine at Mount Sinai, New York, New York, 10029, United States|Northwell, New York, New York, 10075, United States|Cleveland Clinic Melen Center, Cleveland, Ohio, 44195, United States|The Boster Center for Multiple Sclerosis, Columbus, Ohio, 43235, United States|Oklahoma Medical Research Foundation, Oklahoma City, Oklahoma, 73104, United States|University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States|University of Utah, Salt Lake City, Utah, 84108, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, 53226, United States"
